idx,condition_dataset_name,condition_cond_name,condition_query_name,parameter_value,gpt-3.5-turbo,luminous-supreme-control_int100query,gpt-4
0,annealing,cc,alien,0.0,0.0,0.0,0.6931471712952033
1,annealing,cc,alien,0.1,0.0,0.6881388045004361,0.26638445844167535
2,annealing,cc,alien,0.2,0.0,0.38362994366288217,0.20619204644795777
3,annealing,cc,alien,0.3,0.05600153184816887,0.10185476384991987,0.23379165422629128
4,annealing,cc,alien,0.4,0.041935535845842475,0.5582839907642875,0.6426574578111214
5,annealing,cc,alien,0.5,0.09678865785069019,0.4464874822281234,0.387212369090595
6,annealing,cc,alien,0.6,0.18260856564987626,0.2610414981005196,0.752629808911127
7,annealing,cc,alien,0.7,0.23644352014926961,0.45708744223459585,0.6930456435227272
8,annealing,cc,alien,0.8,0.2902058163405823,0.40621051819458587,0.6464952303372571
9,annealing,cc,alien,0.9,0.013042273000404947,0.3619680180127278,0.6825164341596872
10,annealing,cc,alien,1.0,0.02423947532793802,0.399166355016626,0.5700471625067609
11,annealing,cc,alien,1.1,0.1143420796254686,0.6547098701675622,0.38805104407432117
12,annealing,cc,alien,1.2,0.12852417038397324,0.5776752670148497,0.9609329046968677
13,annealing,cc,alien,1.3,0.1716987774845995,0.382846916597692,1.2620698802269503
14,annealing,cc,alien,1.4,0.18268187812490533,0.386425322160558,1.1843908422646094
15,annealing,cc,alien,1.5,0.21384161655205602,0.49627705248816145,1.2120756443027192
16,annealing,cc,alien,1.6,0.27977802916077854,0.8417075550369189,1.260076096759589
17,annealing,cc,alien,1.7,0.05926532626132275,0.5051930009697672,1.702345195013993
18,annealing,cc,alien,1.8,0.2168622083827989,0.2751727678858664,1.270584354386106
19,annealing,cc,alien,1.9,0.013863325132381643,0.40418650958371494,1.3486852290245648
20,annealing,cc,alien,2.0,0.12454462900863605,0.5299129865898111,1.2097591360445747
21,annealing,cc,econ,0.0,0.0,0.0,0.0
22,annealing,cc,econ,0.1,0.0,4.615120276582754,0.0
23,annealing,cc,econ,0.2,0.0,0.25731863581364467,0.0
24,annealing,cc,econ,0.3,0.0,1.0567331940213673,0.16794414396132185
25,annealing,cc,econ,0.4,0.0,0.13814261890134039,0.0
26,annealing,cc,econ,0.5,0.23165023763040105,0.3171380142276863,0.5112146219361177
27,annealing,cc,econ,0.6,0.08263728370832224,0.29572020611331196,0.606385300649829
28,annealing,cc,econ,0.7,0.43532123499167275,0.18050060077205377,0.6680374652452938
29,annealing,cc,econ,0.8,0.18068369780220728,0.05093741309441646,0.7578059408385719
30,annealing,cc,econ,0.9,0.6330804889651764,0.3620875505908503,0.8936443148998076
31,annealing,cc,econ,1.0,0.9777244231101425,0.14761460843353813,0.9299332482918642
32,annealing,cc,econ,1.1,0.8029964657489834,0.1847046455743926,0.757068210399471
33,annealing,cc,econ,1.2,0.7107420837736171,0.047414240230980065,0.7426762464816447
34,annealing,cc,econ,1.3,0.6731262031259129,0.1516906942507743,1.3147009829032383
35,annealing,cc,econ,1.4,0.8036370593536395,0.24325114128086822,0.923620248381763
36,annealing,cc,econ,1.5,0.9551181630746939,0.19058799953746908,1.2321752507373867
