idx,condition_dataset_name,condition_cond_name,condition_query_name,parameter_value,gpt-3.5-turbo,luminous-supreme-control_int100query,gpt-4
0,annealing,cc,alien,0.0,0.0,0.0,10.81977817744448
1,annealing,cc,alien,0.1,0.0,11.976079079113216,21.03252743672674
2,annealing,cc,alien,0.2,0.0,10.660416260014367,1.0056948323667456
3,annealing,cc,alien,0.3,0.17425697512662475,2.432143890473168,1.205324014366169
4,annealing,cc,alien,0.4,0.5565345554159066,1.9212546316794148,7.242907849544825
5,annealing,cc,alien,0.5,1.1584150329934932,2.0569062610318043,2.6161594610154095
6,annealing,cc,alien,0.6,0.7904026986676813,1.3909170471189105,9.00408658832589
7,annealing,cc,alien,0.7,3.1102523653175718,1.825969258133025,5.5867318194261895
8,annealing,cc,alien,0.8,2.6289164643761884,2.387721025033322,4.0633378668744315
9,annealing,cc,alien,0.9,3.6823747769003647,2.910444582377317,4.972955666975594
10,annealing,cc,alien,1.0,5.591051983165101,1.9927004518670284,16.534870498477915
11,annealing,cc,alien,1.1,5.238890274427265,3.3175624209995087,2.8327396745771893
12,annealing,cc,alien,1.2,5.150545428458386,2.399523314719068,6.566749054094462
13,annealing,cc,alien,1.3,4.367037225684765,2.255443571929943,11.734265793480885
14,annealing,cc,alien,1.4,5.5518391178684166,4.6058207066556855,9.111595712639529
15,annealing,cc,alien,1.5,4.899466610794045,3.773477582018685,6.413906611668493
16,annealing,cc,alien,1.6,3.2794835379412373,6.3612057377714315,3.422428628057792
17,annealing,cc,alien,1.7,4.61386280315292,3.5535741656947586,10.307369965619545
18,annealing,cc,alien,1.8,5.503008982769562,2.487198136619514,4.053568234450315
19,annealing,cc,alien,1.9,8.191752004330711,3.2274332703448136,4.089869692241124
20,annealing,cc,alien,2.0,4.151389368252721,5.110588424831544,3.2333693807641266
21,annealing,cc,econ,0.0,0.0,0.0,0.0
22,annealing,cc,econ,0.1,0.0,4.615120276582751,0.0
23,annealing,cc,econ,0.2,0.0,21.123828440417192,0.0
24,annealing,cc,econ,0.3,0.0,17.705071077998852,0.040821992127171074
25,annealing,cc,econ,0.4,0.0,1.2978659131044048,0.0
26,annealing,cc,econ,0.5,0.04032069009523802,3.0218002448740355,0.15082288234375169
27,annealing,cc,econ,0.6,0.7673163832695491,1.1718772092379903,0.1863295685810914
28,annealing,cc,econ,0.7,1.3572524160645398,1.4965724430571035,0.4202337122837823
29,annealing,cc,econ,0.8,1.4889082923763302,1.796138458421581,0.235722321487479
30,annealing,cc,econ,0.9,2.7579822180205014,1.9104284586883296,0.30466039610690177
31,annealing,cc,econ,1.0,4.136516510076991,2.190290113105957,0.5416100061263467
