idx,condition_dataset_name,condition_cond_name,condition_query_name,parameter_value,gpt-3.5-turbo,luminous-supreme-control_int100query,gpt-4
0,annealing,cc,alien,0.0,0.0,0.0,0.00990099009900991
1,annealing,cc,alien,0.1,0.0,0.008910891089108919,0.001485148514851486
2,annealing,cc,alien,0.2,0.0,0.007879930850227887,0.0010422094841063068
3,annealing,cc,alien,0.3,0.00019801980198019828,0.00407319212933952,0.0012376237623762387
4,annealing,cc,alien,0.4,0.00019801980198019828,0.007517829326635046,0.006781500067815006
5,annealing,cc,alien,0.5,0.00039603960396039547,0.004851226186262918,0.0025828669823504116
6,annealing,cc,alien,0.6,0.0011881188118811883,0.003651740506792475,0.008390669575432127
7,annealing,cc,alien,0.7,0.0009900990099009903,0.005118938760866811,0.005400540054005405
8,annealing,cc,alien,0.8,0.002574257425742574,0.004164155545989385,0.004050405040504055
9,annealing,cc,alien,0.9,0.0013861386138613863,0.0031586392985132553,0.004863644259162763
10,annealing,cc,alien,1.0,0.0025742574257425744,0.004451858229301191,0.005091937765205096
11,annealing,cc,alien,1.1,0.0013861386138613874,0.0056263422600056285,0.0027722772277227747
12,annealing,cc,alien,1.2,0.0015841584158415856,0.005851180243662004,0.006473724295506479
13,annealing,cc,alien,1.3,0.0015841584158415843,0.005201663023445205,0.011023102310231032
14,annealing,cc,alien,1.4,0.0009900990099009897,0.0030912447969943203,0.00950495049504951
15,annealing,cc,alien,1.5,0.001956195619561957,0.003572965992251399,0.006402640264026406
16,annealing,cc,alien,1.6,0.0023022302230223026,0.006468646864686471,0.01074440777411075
17,annealing,cc,alien,1.7,0.0014144271570014156,0.005411581594324814,0.010365906155832981
18,annealing,cc,alien,1.8,0.001818549201858963,0.004004845907125926,0.008976897689768983
19,annealing,cc,alien,1.9,0.0009724186704384722,0.004656914913136976,0.008484386900228492
20,annealing,cc,alien,2.0,0.0015873869995695225,0.004568907594984852,0.009007598434262036
21,annealing,cc,econ,0.0,0.0,0.0,0.0
22,annealing,cc,econ,0.1,0.0,0.00990099009900991,0.0
23,annealing,cc,econ,0.2,0.0,0.0014144271570014153,0.0
24,annealing,cc,econ,0.3,0.0,0.008067473414008075,0.0007920792079207931
25,annealing,cc,econ,0.4,0.0,0.002038439138031452,0.0
